id,customer_message,intent,notes
828308,I have already given all the info as asked by link sent by Akshya. Ask your courier to collect your return package from my house.,return_refund,
980709,With that response I guess you didn't read my message clearly. IT WAS NOT LEFT IN MY SAFE PLACE!!!! It was left on top of a bin!!! I do have,order_delivery,
80585,It has essentially looked like this every day since Monday...,general_feedback,
234828,I tried emailing and on the phone it’s on 1 account they don’t know why I’ve been charged twice but now I’m just without prime😡😡😢😢,payment_billing,
2663581,R U saying that seller has right to increase MRP and sell products?,general_feedback,
2499119,I have already responded to the correspondence I received like couple of hours ago .,customer_service,
2287987,"chuck it, am sick and tired of all this shit around. I wanted to give my aged father a BP monitoring machine which also couldn’t reach. Am f*** bothered now when it reaches. It didn’t when it was required",order_delivery,
2881835,Fast delivery at the cost of damaged goods is not complete service. Will be returning the product via app.,return_refund,
96803,#LGQ6AppQuiz still not yet listed in your link.,general_feedback,
485248,Can u atleast provide your customer care number so that I can contact them ?,customer_service,
1067744,"Wat more detail u want me to fill here? I have filled these thrice, hw much more u would fool me wid ds generic replies? U looters, u cheats",customer_service,
239435,UPS for all 5 packages :(,order_delivery,
485366,"No, your delivery team are incapable of just leaving a parcel. Ive has 3 different ideas from your support team but none have worked. The deliveries are just given to the nearest neighbour despite requests",order_delivery,
832716,Yes as per my earlier message I told u people that I have replied on that mail as well,customer_service,
503398,"Until you control shipping, doubt there’s anything you can do other than just not promise dates until after the holidays. Of course shipping the in stock product when I ordered it and not three days later (on the original delivery date) probably could have helped.",order_delivery,
549546,"I won’t know until it’s opened on Christmas Day-I don’t want to open the inner box to check as it’s a gift, would I be able to contact for return still if it is damaged? I have taken photos of the damaged box",return_refund,
758938,"I am messaging you the details,see if you care enough as you say .I am sick of filling these forms",customer_service,
985150,No. I will do that. Thank you very much.,general_feedback,
469406,"How could you called itself world's most customer centric company, shame on you guys, There is no proper customer support #UNINSTALLAMAZON",customer_service,
815491,"think u should jump in to get a happy customer your team is not even giving me a call neither want to resolve the query",customer_service,
898373,"I m nt sure if u ppl hv brain to understand d problem summry. Read again& call me.",customer_service,
2133266,"I ordered 3 sets of Xbox game codes and my account says verifying. They was ordered at 5pm yesterday. Been told 4 hours and still not here.",order_delivery,
472331,"It's with I was using my free trial of Amazon Music when this came to my attention.",prime,
37607,"Have concted your cc 10 times. You have my details. Filled this form also. Horrible experience",customer_service,
793899,"Can i have a ETA from your end for the resolution or you just making fool of your customers. Full money paid & no product received.",order_delivery,
619101,"Nah u don’t understand the customer plight. Else d issue wouldn’t have been left unattended for dis long. So stop putting a mask of concern",customer_service,
182998,"I have, nothing there I'm afraid. I've also check the msg centre. I don't have an email confirming the preorder either which is odd",order_delivery,
1727579,"he's lying . I've not sent him any product 😏",general_feedback,
1889496,"I am a business account holder. Not all your sellers provide GST invoices. I request you that Cloudtail provide GST invoices.",payment_billing,
1733924,"It’s sold by amazon I have the order number . How do I get a replacement sent to me etc ?",return_refund,
897115,"I have replied to your mail as well.",customer_service,
1137332,"Earliest? When? I want a resolution right now",customer_service,
294893,"The wrong shipping label was sent to me for a return. Although I returned the correct item, I was charged for not returning the item.",return_refund,
1144975,"I have the number for your head office in slough and I'll be calling them tomorrow!",customer_service,
1258971,"2 TIMES THE PRODUCT IS NOT DELIVERED WITH FALSE PROMISE? 12 DAYS WAITING..CAN YOU BE MORE ACCOUNTABLE",order_delivery,
2292288,"So it’s been a long case but the issue I’m having now is that I was told by a supervisor over the phone last week that I would get my money back From my order and a say goodwill gesture I would have the same amount of money put into a gift card",return_refund,
2142449,"it doesnt appear so, but ive been having the package drying. im dissapointed that i got a notification so late after delivery though",order_delivery,
1243789,"Thank you for your answer ;)",general_feedback,
972781,"Hahahahahaha Your services are pathetic specially replacement service And your app is amazing in when it comes to lag",general_feedback,
678633,"Has a 'member of your team researched this issue for me'? 1 month and counting #amazon",customer_service,
1623394,"20+ days passed, 10+ mail exchanged, still No Delivery.Please Go back to America. Out for Delivery for more than 10 days. #Worstexperience",order_delivery,
1051898,"It's been very stressful 4 me and i had mentioned clearly to customer care that if issue ain't resolved 2day then i am gonna file n FIR.",customer_service,
2113669,"Mines was shipped like this as well.",order_delivery,
2396338,"Yes. I have wifi connected, I've restarted, I've closed out and re-opened. Nothing fixes it. Like I said, everything else works perfectly but the web browser, which has been enabled, and says try again later and nothing populates.",product_technical,
1298936,"Thank you. I already got the answer to my question. It was just the process that was unusually bad for Amazon. Just a glitch, I'm sure.",general_feedback,
2451228,"before stolen mail & the metal monstrosities they were brought to our doors",general_feedback,
1137450,"From past 3 days your support team is asking to wait till end of the day. It seems there is no end of the day for Amazon",customer_service,
2466106,"Received two orders that still do not show up on my Amazon",order_delivery,
2584143,"Not yet shipped",order_delivery,
2527443,"7 DAYS since your last unsympathetic reply. Where is my money, or my book?????????????? THAT is why I have always maintained Flipkart is far ahead in terms of customer service! I stand vindicated",order_delivery,
364653,"world's wrost customer services company poor reply on Twitter also",customer_service,
1264421,"Please check on my order 171-5775155-8517954 and tell me the status.",order_delivery,
2745968,"OK I just found out why the parcel wouldn’t go through the door. In what way is this packaging OK?",product_technical,
284044,"Okay... Shall I delete that tweet?",general_feedback,
2161840,"I’ve had no email from you",customer_service,
63996,"yes i have provided the details on link provided #amazonfails",customer_service,
2781926,"Which I get, but buying an Amazon Product from Amazon... that should probably not have three days of processing time. I’ve got a battery charger — ordered the same day — not sold by Amazon — arriving on Thursday. Just seems weird. Thanks for the reply.",order_delivery,
257182,"I got an email from customer service. Thank you!",customer_service,
2216869,"Details shared in the mrng any update please?",customer_service,
1929431,"I have tried that before I tweeted keeps saying error !",product_technical,
160412,"They suggested resetting my password. But the original issue was that somebody else was using my account to make purchases. It was suggested that I close my account, but accounts are linked to email and I don't want to change my email for a new account",account_login,
2084546,"Awesome. Thanks",general_feedback,
739063,"Thanks for the reply! I tried it on .nl .de and .com. Got the one on .com ;-)",general_feedback,
619090,"There is no email from the social media team.. stop killing time by sending such repetitive emails of reply sent. It u truly intend give a concrete reply..",customer_service,
1540475,"Never mind you can't solve the issue! My remark stays "" is a piece of shit"" check my chats with your guys",general_feedback,
288052,"Yes, I have looked in there and nothing, requested it 2 hours ago",customer_service,
