id,customer_message,true_intent,predicted_intent,intent_confidence,retrieval_similarity,decision,reason,generated_response,evidence_customer,evidence_response,human_relevance,human_groundedness,human_helpfulness,human_appropriateness,human_overall,human_notes
2110292,"Was on the phone 35 minutes, no help",customer_service,customer_service,0.2594360777473848,1.0,ESCALATE,low intent confidence,Thanks for reaching out. Please reach out to us here via phone or chat: so we can troubleshoot this with you in real time. We want to help!,"Was on the phone 35 minutes, no help",Please reach out to us here via phone or chat: so we can troubleshoot this with you in real time. We want to help!,,,,,,
1227278,Plz check my profile and address . Anil rout .nh55 turranga.angul mob 9937066505 pin 759123 and 759122. i am not satisfied with your answer,customer_service,customer_service,0.2373482564906556,1.0,ESCALATE,low intent confidence,"Thanks for reaching out. Due to carrier constraints, we are not able to provide cash on delivery to a few pin codes. (1/n)",Plz check my profile and address . Anil rout .nh55 turranga.angul mob 9937066505 pin 759123 and 759122. i am not satisfied with your answer,"Due to carrier constraints, we are not able to provide cash on delivery to a few pin codes. (1/n)",,,,,,
180839,And what resolution check and where check have sent them 1000+ email. Wtf moment :(,customer_service,customer_service,0.2588009088493056,1.0,ESCALATE,low intent confidence,Thanks for reaching out. You may visit this link to check the emails sent to you :,And what resolution check and where check have sent them 1000+ email. Wtf moment :(,You may visit this link to check the emails sent to you :,,,,,,
1177317,"I’m in the USA so I assume,",general_feedback,customer_service,0.1741233017430353,1.0,ESCALATE,low intent confidence,Thanks for reaching out. Which marketplace are you utilizing: or Amazon.it?,I’m in the USA so I assume,Which marketplace are you utilizing: or Amazon.it?,,,,,,
2396338,"Yes. I have wifi connected, I've restarted, I've closed out and re-opened. Nothing fixes it. Like I said, everything else works perfectly but the web browser, which has been enabled, and says try again later and nothing populates.",product_technical,product_technical,0.4399148570580358,1.0000000000000002,AUTO_HANDLE,intent confidence and historical evidence meet the automation criteria,"Thanks for reaching out. Gary, sorry to hear of your troubles! Have you tried the troubleshooting tips listed here?:","Yes. I have wifi connected, I've restarted, I've closed out and re-opened. Nothing fixes it. Like I said, everything else works perfectly but the web browser, which has been enabled, and says try again later and nothing populates.","Gary, sorry to hear of your troubles! Have you tried the troubleshooting tips listed here?:",,,,,,
2460001,"No actual reason why it was delayed on email, delivery guy was outside my house for 10 mins looking for package and I approached him and he said your package isn’t on this truck .",order_delivery,order_delivery,0.3671411926000954,1.0,AUTO_HANDLE,intent confidence and historical evidence meet the automation criteria,"Thanks for reaching out. Were you emailed with a reason for the delay? If so, what did it say. Keep us updated! - Conor","No actual reason why it was delayed on email, delivery guy was outside my house for 10 mins looking for package and I approached him and he said your package isn’t on this truck .","Were you emailed with a reason for the delay? If so, what did it say. Keep us updated! - Conor",,,,,,
26933,It’s not recognizing the name of the podcast (Slate Presents Lexicon Valley) which can be found on Spotify. Says “I can’t find songs by...”,product_technical,product_technical,0.4796704956115417,1.0,AUTO_HANDLE,intent confidence and historical evidence meet the automation criteria,Thanks for reaching out. What exactly is happening Lauren?,It’s not recognizing the name of the podcast (Slate Presents Lexicon Valley) which can be found on Spotify. Says “I can’t find songs by...”,What exactly is happening Lauren?,,,,,,
815491,think u should jump in to get a happy customer your team is not even giving me a call neither want to resolve the query,customer_service,customer_service,0.3005432445570469,1.0,AUTO_HANDLE,intent confidence and historical evidence meet the automation criteria,Thanks for reaching out. and help you with the issue. Please provide your details here: and I'll get back to you. 2/2,think u should jump in to get a happy customer your team is not even giving me a call neither want to resolve the query,and help you with the issue. Please provide your details here: and I'll get back to you. 2/2,,,,,,
2905001,Ok thanks for your help.,general_feedback,general_feedback,0.3594760074963209,1.0,AUTO_HANDLE,intent confidence and historical evidence meet the automation criteria,"Thanks for reaching out. Since the package was delivered today, give it some time for that order to appear and try to submit your packaging feedback in a few hours. Should it still not allow you to do so, contact us here and we can assist with the submission. :)","Ok, thanks for the help 👍👍","Since the package was delivered today, give it some time for that order to appear and try to submit your packaging feedback in a few hours. Should it still not allow you to do so, contact us here and we can assist with the submission. :)",,,,,,
1288194,"A heavy box was used to ship a $4 Pop figure in the same week, but a $70 special edition game gets an envelope?",general_feedback,general_feedback,0.2491496738545258,1.0,ESCALATE,low intent confidence,Thanks for reaching out. I'm sorry your box was damaged! Were the items damaged? You can submit packaging feedback here:,"A heavy box was used to ship a $4 Pop figure in the same week, but a $70 special edition game gets an envelope?",I'm sorry your box was damaged! Were the items damaged? You can submit packaging feedback here:,,,,,,
360703,Yes ... 3 days ...Tracking #: 182110389807,order_delivery,order_delivery,0.2855539881291591,1.0,ESCALATE,low intent confidence,"Thanks for reaching out. I'm sorry, Lokendra. Did we miss the estimated delivery date?",Yes ... 3 days ...Tracking #: 182110389807,"I'm sorry, Lokendra. Did we miss the estimated delivery date?",,,,,,
759027,Arrived after I left.which does me no good as I had to purchase replacement item. Which I specifically asked your person if I’d need to do,order_delivery,order_delivery,0.2396762273733363,1.0,ESCALATE,low intent confidence,Thanks for reaching out. Sorry to hear it Grace- What is the status of your order now?,Arrived after I left.which does me no good as I had to purchase replacement item. Which I specifically asked your person if I’d need to do,Sorry to hear it Grace- What is the status of your order now?,,,,,,
1134984,We have not had any help from just lies and excuses,customer_service,return_refund,0.2149420411823339,1.0,ESCALATE,low intent confidence,"Thanks for reaching out. I'm very sorry for the poor experience! Without including any account details, can you tell us more about what's happened?",We have not had any help from just lies and excuses,"I'm very sorry for the poor experience! Without including any account details, can you tell us more about what's happened?",,,,,,
